PMID	TF	ENSG	CellLine	Assay	Complex	Notes	Target	Cofactor
20228272	STAT3	ENSG00000113916	MM.1S, U266, RPMI8226	RT-PCR;Microarray;WB;IHC;siRNA		这里的细胞系好像……并非细胞系吗。IHC和microarray的结合？我可能不太熟悉这两个方法。。	Bcl-6	0
21983014	EGR1	ENSG00000148344		EMSA;Literature		HDAC1是共抑制因子	PTGES	0
21983014	RELA	ENSG00000120738	HeLa	Luciferase;ChIP;EMSA;WB;Co-IP;siRNA;Literature	NFκB-HDAC1		EGR1	0
21983014	HDAC1	ENSG00000120738	HeLa	ChIP;EMSA;WB;Co-IP;siRNA;Literature	NFκB-HDAC1		EGR1	1
19786090	EGR1	ENSG00000117632	A549, HEK293	Luciferase;RT-PCR;ChIP;EMSA;WB;siRNA			STMN1	0
19786090	TP53	ENSG00000120738	A549	Luciferase;WB			EGR1	0
25113559	CTCF	ENSG00000008300	SK-N-SH, HEC-1-B, HepG2	RT-PCR;ChIP;EMSA;WB;siRNA		4c-seq	CELSR3	0
25113559	REST	ENSG00000008300	SK-N-SH, HEC-1-B, HepG2	RT-PCR;EMSA;WB;siRNA			CELSR3	0
19609274	MYB	ENSG00000136997	HEK293, Colo201	Luciferase;RT-PCR;Microarray;ChIP;WB;siRNA		貌似依旧是CAT？暂时记成luciferase reporter assay。COX2的报告在补充图里，我们将来的分析有多模态吗。没有看到明确的MYB的自调控。	MYC	0
19609274	CTNNB1	ENSG00000136997	HEK293, Colo201	Luciferase;ChIP;WB			MYC	1
19609274	MYB	ENSG00000073756		Literature			COX-2	0
19609274	CTNNB1	ENSG00000073756		Literature			COX-2	1
19609274	CTNNB1	ENSG00000110092		Literature			CCND1	0
23388456	HSF1	ENSG00000149212	HaCaT, HCT116, HF, HT1080	Luciferase;RT-PCR;WB;RNAi_KD		未统计不同细胞系的不同调控方向。暂时记了p53->p21，同时文献应用了p53->SESN1,SESN2，FoxOs->SESN3，不知道为什么没有算入）	SESN3	0
23388456	TP53	ENSG00000124762		Literature			CDKN1A	0
20304822	ATF3	ENSG00000111537	Jurkat, CD4 T	Luciferase;RT-PCR;ChIP;WB;siRNA;Flow_Cytometry	ATF3/JUN		IFNG	0
20304822	ATF3	ENSG00000177606	CD4 T	WB;siRNA;Flow_Cytometry			JUN	0
20304822	ATF3	ENSG00000073861	CD4 T	WB;siRNA;Flow_Cytometry			TBX21	0
20304822	JUN	ENSG00000162772		Literature			ATF3	0
20304822	ATF2	ENSG00000177606		Literature			JUN	0
20304822	JUN	ENSG00000111537	Jurkat, CD4 T	Luciferase;RT-PCR;ChIP	ATF3/JUN		IFNG	0
20304822	ATF2	ENSG00000111537		Literature	ATF2-JUN		IFNG	0
15735663	ATF7	ENSG00000007908	Raji	ChIP;WB;siRNA		IP要算进去吗……	SELE	0
15735663	TAF12	ENSG00000007908	Raji	ChIP;WB;siRNA			SELE	0
9756895	YY1	ENSG00000102974		Literature			CTCF	0
9756895	CTCF	ENSG00000136997		Literature			MYC	0
9756895	CTCF	ENSG00000166851		Literature			PLK1	0
9756895	CTCF	ENSG00000090382		Literature			LYZ	0
9756895	CTCF	ENSG00000142192		Literature			APP	0
9756895	CTCF	ENSG00000158402		Literature			CDC25C	0
9756895	CTCF	ENSG00000170312		Literature			CDK1	0
9756895	CTCF	ENSG00000133101		Literature			CCNA1	0
7655015	MYB	ENSG00000136997	Molt-4, Jurkat	Literature		K562结合性能不佳	MYC	0
7655015	MYB	ENSG00000118513		Luciferase;EMSA;Mutation;Literature			MYB	0
7655015	MYB	ENSG00000204389		Literature			HSPA1A	0
7655015	MYB	ENSG00000010610		Literature			CD4	0
7655015	MYB	ENSG00000174059		Literature			CD34	0
7655015	MYB	NOT_FOUND		Literature		TRD/TCRD为TCRδ位点(locus)，HGNC/Ensembl/MyGene均无ENSG	TCRD	0
7655015	MYB	ENSG00000170312		Literature			CDK1	0
7655015	JUN	ENSG00000118513		Literature			MYB	0
7655015	JUND	ENSG00000118513		Literature			MYB	0
7655015	MYBL2	ENSG00000118513	Molt-4, Jurkat	Literature;EMSA;Luciferase;Mutation			MYB	0
16628196	STAT1	ENSG00000163823		RT-PCR;WB;Mutation;Literature		STAT1调控的真的是CCR1而不是CCL3吗。STAT1用了ELISA。	CCR1	0
16628196	NFKB1	ENSG00000277632		WB;Mutation;Literature			CCL3	0
16628196	STAT1	ENSG00000164342		RT-PCR;Mutation			TLR3	0
16628196	STAT3	ENSG00000164342		RT-PCR;Mutation			TLR3	0
19376845	ARNT	ENSG00000138061	MCF-7, HepG2	ChIP;Literature	AhR-ARNT		CYP1B1	0
19376845	ARNT	ENSG00000140465	MCF-7, HepG2	ChIP;Literature	AhR-ARNT		CYP1A1	0
19376845	ARNT	ENSG00000140505	MCF-7, HepG2	Literature	AhR-ARNT		CYP1A2	0
19376845	AHR	ENSG00000138061	MCF-7;HepG2	ChIP;Literature	AhR-ARNT		CYP1B1	0
19376845	AHR	ENSG00000140465	MCF-7, HepG2	ChIP;Literature	AhR-ARNT		CYP1A1	0
19376845	AHR	ENSG00000140505	MCF-7, HepG2	Literature	AhR-ARNT		CYP1A2	0
8631128	ARNT	ENSG00000140465	HepG2;MCF7	Literature	AhR-ARNT	说是存在ESR依赖的、AHR介导的CYP1A1诱导，没有算入	CYP1A1	0
8631128	AHR	ENSG00000140465	HepG2;MCF7	Literature	AhR-ARNT		CYP1A1	0
8631128	SP1	ENSG00000140465	CV-1(Monkey)	Literature			CYP1A1	0
8631128	KLF9	ENSG00000140465	(In Rat）	Literature			CYP1A1	0
22213192	ZNF24	ENSG00000110092	L02, Hep3B	Luciferase;Microarray;EMSA;WB		体内 ChIP 实验显示，ZNF191 并不能直接与包含 LEF/TCF 位点的 CCND1 启动子片段（-962CD1）结合（支持信息图 4），表明 ZNF191 对 CCND1 启动子的激活是通过 β-连环蛋白间接实现的。去掉了ChIP证据，其实不确定这里是否成立	CCND1	0
22213192	ZNF24	ENSG00000168036	L02, Hep3B	Luciferase;ChIP;EMSA;Microarray;WB			CTNNB1	0
22213192	ZNF24	ENSG00000112715		Literature			VEGFA	0
22213192	AP1	ENSG00000168036		Literature			CTNNB1	0
22213192	LEF/TCF	ENSG00000168036		Literature			CTNNB1	0
22213192	NKX2-5	ENSG00000168036		Literature			CTNNB1	0
22213192	THRB	ENSG00000168036		Literature			CTNNB1	0
22205702	ZEB1	ENSG00000039068		Literature		这篇分歧有点大，我没看到luciferase assay.说是STAT3可能不结合DNA而是调控ZEB1，但是貌似有它的结合位点？	CDH1	0
22205702	ZEB2	ENSG00000039068		Literature			CDH1	0
22205702	SNAI1	ENSG00000039068		Literature			CDH1	0
22205702	SNAI2	ENSG00000039068		Literature			CDH1	0
22205702	TWIST1	ENSG00000039068		Literature			CDH1	0
22205702	TWIST2	ENSG00000039068		Literature			CDH1	0
22205702	TCF3	ENSG00000039068		Literature			CDH1	0
22205702	STAT3	ENSG00000039068	Lovo, SW1116	ChIP;WB;siRNA;OE;Mutation			CDH1	0
22205702	STAT3	ENSG00000170558	Lovo, SW1116	WB;siRNA;OE			CDH2	0
22205702	STAT3	ENSG00000026025	Lovo, SW1116	WB;siRNA;OE			VIM	0
22205702	STAT3	ENSG00000148516	Lovo, SW1116	RT-PCR;WB;siRNA			ZEB1	0
22205702	ZEB1	ENSG00000039068	Lovo, SW1116	Luciferase;RT-PCR;ChIP;WB;siRNA;Mutation			CDH1	0
10453008	CEBPA	ENSG00000100368	HL-60, U-937	EMSA;Mutation;Literature			CSF2RB	0
10453008	CEBPB	ENSG00000100368	HL-60, U-937	EMSA;Mutation;Literature			CSF2RB	0
10453008	CEBPE	ENSG00000100368	HL-60	EMSA;Mutation;Literature			CSF2RB	0
10453008	CEBPD	ENSG00000100368	HL-60, COS-1	Literature			CSF2RB	0
10453008	CEBPG	ENSG00000100368	HL-60, U-937	Literature			CSF2RB	0
10453008	SPI1	ENSG00000100368	COS-1	Literature;EMSA			CSF2RB	0
10453008	CEBP/SPI1	ENSG00000119535		Literature			CSF3R	0
10453008	CEBP/SPI1	ENSG00000198223		Literature			CSF2RA	0
10453008	CEBP/SPI1	ENSG00000182578		Literature			CSF1R	0
20068145	RB1	ENSG00000012048	Jurkat T, HEK 293, HEK 293 LTV, PC3, LNCaP	ChIP;Co-IP;RNAi_KD	BRCA1-E2F1-RB	使用了不表达Rb的Saos细胞系，这里记成KD	BRCA1	1
20068145	BRCA1	ENSG00000012048	Jurkat T, HEK 293, HEK 293 LTV, PC, LNCaP	Luciferase;RT-PCR;ChIP;WB;Co-IP;RNAi_KD;OE	BRCA1-E2F1-RB		BRCA1	0
20068145	E2F1	ENSG00000012048	Jurkat T, HEK 293, HEK 293 LTV, PC, LNCaP	Luciferase;ChIP;Co-IP;RNAi_KD	BRCA1-E2F1-RB		BRCA1	1
20068145	BRCA1	ENSG00000157456		Literature			CCNB2	0
20068145	BRCA1	ENSG00000076242		Literature			MLH1	0
20068145	BRCA1	ENSG00000188486		Literature			H2AFX	0
20068145	BRCA1	ENSG00000175197		Literature			DDIT3	0
20068145	BRCA1	ENSG00000116560		Literature			SFPQ	0
20068145	BRCA1	ENSG00000168496		Literature			FEN1	0
20068145	BRCA1	ENSG00000132475		Literature			H3F3B	0
7876096	USF1	ENSG00000105388	SW403, Caco-2, HepG2	Luciferase;EMSA;Footprinting;OE		1995 年 USF 还被认为是单因子，USF2 后来才发现——AI以此为由推掉了USF2。SP1-LIKE没有计入。这篇的Assay有点出入	CEACAM5	0
7876096	SP1	ENSG00000105388	SW403, Caco-2	EMSA;Footprinting;Mutation			CEACAM5	0
7876096	USF1	ENSG00000079385		Literature			CEACAM1	0
7876096	HNF4A	ENSG00000079385		Literature			CEACAM1	0
7876096	SP1	ENSG00000039068		Literature			CDH1	0
